Product.Category,Base,Method,Accuracy,Backtesting period,Parameter_1,Parameter_2,Parameter_3,Regressor_Method,Comment
CHROMEBOOK,CHROMEBOOK_Total,forecast_enhance_stl_regressor,0.86,18,9,1,0.8,Specific,
CHROMEBOOK,Entry_11_UMA_AMD,forecast_auto_arima_box_cox_regressor,0.763142739,12,,,,Specific,
CHROMEBOOK,Entry_11_UMA_INTEL,forecast_enhance_stl_regressor,0.588882103,12,5,1,0.7,Specific,
CHROMEBOOK,Entry_11_UMA_MTK,forecast_auto_arima_regressor,0.308403245,12,,,,Specific,
CHROMEBOOK,Entry_14_UMA_AMD,month_to_month_GR_extrapolate,0,0,10/1/2019,3/1/2020,"1,2,3,11,12",,
CHROMEBOOK,Entry_14_UMA_INTEL,forecast_enhance_stl_regressor,0.280414033,6,5,1,0.1,Specific,
CHROMEBOOK,Entry_14_UMA_MTK,forecast_enhance_stl_regressor,0.87713319,6,1,1,0.3,Specific,
CHROMEBOOK,Entry_15_UMA_INTEL,forecast_enhance_stl,0.71104895,12,5,1,0.95,,
CHROMEBOOK,Halo_13_UMA_INTEL,forecast_enhance_stl,0.31,6,13,1,0.8,,
CHROMEBOOK,Halo_14_UMA_INTEL,forecast_stl_regressor,0.842109373,6,,,,Specific,
CHROMEBOOK,Mainstream_11_UMA_INTEL,forecast_prophet_regressor,0.849588754,6,,,,Specific,
CHROMEBOOK,Mainstream_11_UMA_MTK,forecast_prophet_regressor,0.723344658,6,,,,Specific,
CHROMEBOOK,Mainstream_12_UMA_INTEL,forecast_auto_arima,0.22,6,,,,,
CHROMEBOOK,Mainstream_13_UMA_MTK,forecast_enhance_stl,0.793652687,6,25,5,0.7,,
CHROMEBOOK,Mainstream_14_UMA_AMD,forecast_hw_box_cox,0.71,6,,,,,
CHROMEBOOK,Mainstream_14_UMA_INTEL,forecast_enhance_stl_regressor,0.92,6,13,13,0.6,Specific,
CHROMEBOOK,Mainstream_15_UMA_INTEL,forecast_enhance_stl,0.91,6,15,3,1,,
CHROMEBOOK,Premium_12_UMA_INTEL,forecast_auto_arima,0.83,6,,,,,
CHROMEBOOK,Premium_13_UMA_INTEL,forecast_enhance_stl_regressor,0.844438416,6,5,1,0.3,Specific,
CHROMEBOOK,Premium_13_UMA_MTK,forecast_auto_arima,0.857297942,6,,,,,
CHROMEBOOK,Premium_14_UMA_INTEL,forecast_stl_regressor,0.841534308,6,,,,Specific,
CHROMEBOOK,Premium_15_UMA_INTEL,forecast_enhance_stl,0.71,12,11,1,0.6,,
COV,COV_Total,forecast_enhance_stl_regressor,0.91,18,5,13,0.1,Specific,
COV,Entry_11_UMA_INTEL,forecast_combined,0.82,6,,,,,
COV,Entry_14_UMA_INTEL,forecast_enhance_stl_regressor,0.83,12,15,7,0.5,Specific,
COV,Halo_13_DISCRETE_INTEL,forecast_auto_arima_regressor,0.873994171,6,,,,Specific,
COV,Halo_13_UMA_INTEL,forecast_combined,0.67,12,,,,,
COV,Halo_14_UMA_INTEL,forecast_stl,0.78,18,,,,,
COV,Halo_15_DISCRETE_INTEL,forecast_enhance_stl_regressor,0.740576524,6,5,1,0.6,Specific,
COV,Halo_15_UMA_INTEL,forecast_auto_arima_regressor,0.840356547,12,,,,Specific,
COV,Halo_17_DISCRETE_INTEL,forecast_enhance_stl_regressor,0.735810649,6,5,13,0.01,Specific,
COV,Mainstream_13_UMA_AMD,forecast_enhance_stl_regressor,0.776733518,12,25,5,0.95,Specific,
COV,Mainstream_13_UMA_INTEL,forecast_auto_arima_box_cox,0.75,6,,,,,
COV,Mainstream_14_DISCRETE_INTEL,forecast_enhance_stl,0.743246426,12,15,5,0.8,,
COV,Mainstream_14_UMA_AMD,forecast_auto_arima,0.65,6,,,,,
COV,Mainstream_14_UMA_INTEL,forecast_hw,0.75,6,,,,,
COV,Mainstream_15_DISCRETE_INTEL,forecast_enhance_stl_regressor,0.638042805,12,7,7,0.5,Specific,
COV,Mainstream_15_UMA_AMD,forecast_enhance_stl_regressor,0.72,6,9,5,0.05,Specific,
COV,Mainstream_15_UMA_INTEL,forecast_enhance_stl_regressor,0.565687695,6,7,1,0.8,Specific,
COV,Premium_13_UMA_AMD,forecast_auto_arima_box_cox,0.77,12,,,,,
COV,Premium_13_UMA_INTEL,forecast_auto_arima,0.77,12,,,,,
COV,Premium_14_DISCRETE_INTEL,forecast_combined,0.84,18,,,,,
COV,Premium_14_UMA_AMD,forecast_prophet_regressor,0.88609063,12,,,,Specific,
COV,Premium_14_UMA_INTEL,forecast_combined,0.87,18,,,,,
COV,Premium_15_DISCRETE_INTEL,forecast_enhance_stl,0.835790245,6,5,1,0.4,,
COV,Premium_15_UMA_AMD,forecast_enhance_stl,0.7665313,6,5,9,0.95,,
COV,Premium_15_UMA_INTEL,forecast_enhance_stl_regressor,0.75,12,23,7,0.7,Specific,
COV,Premium_17_DISCRETE_INTEL,forecast_enhance_stl_regressor,0.273656412,12,9,13,0.3,Specific,
GAMING DT,Entry_AMD,forecast_combined,0.68,18,,,,,
GAMING DT,Entry_INTEL,forecast_auto_arima,0.81,18,,,,,
GAMING DT,GAMING DT_Total,forecast_combined,0.9,18,,,,,
GAMING DT,Mainstream_AMD,forecast_stl,0.69,12,,,,,
GAMING DT,Mainstream_INTEL,forecast_combined,0.93,6,,,,,
GAMING DT,Premium_AMD,forecast_auto_arima,0.72,12,,,,,
GAMING DT,Premium_INTEL,forecast_stl,0.94,12,,,,,
GAMING NB,Entry_15_DISCRETE_AMD,forecast_enhance_stl_regressor,0.37,18,5,5,0.3,Specific,
GAMING NB,Entry_15_DISCRETE_INTEL,forecast_enhance_stl_regressor,0.83,18,3,13,1,Specific,
GAMING NB,Entry_16_DISCRETE_INTEL,forecast_prophet_regressor,0.232130521,12,,,,Specific,
GAMING NB,Entry_17_DISCRETE_AMD,forecast_auto_arima_box_cox_regressor,0.768532596,6,,,,Specific,
GAMING NB,Entry_17_DISCRETE_INTEL,forecast_enhance_stl_regressor,0.88,12,1,1,0.3,Specific,
GAMING NB,GAMING NB_Total,forecast_enhance_stl,0.88,18,11,3,0.7,,
GAMING NB,Mainstream_15_DISCRETE_AMD,forecast_stl_box_cox,0.644458089,6,,,,,
GAMING NB,Mainstream_15_DISCRETE_INTEL,forecast_stl,0.83,18,,,,,
GAMING NB,Mainstream_16_DISCRETE_INTEL,forecast_prophet_regressor,0.823946549,6,,,,Specific,
GAMING NB,Mainstream_17_DISCRETE_AMD,forecast_enhance_stl,0.96,6,25,5,0.5,,
GAMING NB,Mainstream_17_DISCRETE_INTEL,forecast_enhance_stl_regressor,0.94,12,25,1,0.01,Specific,
GAMING NB,Premium_15_DISCRETE_AMD,forecast_combined,0.6047,6,,,,,one fourth of 15 Dis intel
GAMING NB,Premium_15_DISCRETE_INTEL,forecast_combined,0.78,18,,,,,
ULT,Entry_14_UMA_AMD,forecast_prophet_regressor,0.9,6,,,,Specific,
ULT,Entry_14_UMA_INTEL,forecast_combined,0.91,12,,,,,
ULT,Entry_15_UMA_AMD,forecast_prophet_regressor,0.88,6,,,,Specific,
ULT,Entry_15_UMA_INTEL,forecast_auto_arima,0.81,12,,,,,
ULT,Halo_13_DISCRETE_INTEL,forecast_stl_regressor,0.872084964,12,,,,Specific,
ULT,Halo_13_UMA_INTEL,forecast_auto_arima,0.8319,12,,,,,
ULT,Halo_14_DISCRETE_INTEL,forecast_auto_arima,0.834947455,12,,,,,
ULT,Halo_14_UMA_INTEL,forecast_combined,0.732420501,12,,,,,
ULT,Halo_15_DISCRETE_INTEL,forecast_enhance_stl_regressor,0.91,12,5,25,0.5,Specific,
ULT,Halo_16_DISCRETE_INTEL,gen_to_gen_GR_extrapolate,0,0,11/1/2016,3,7,Halo_15_DISCRETE_INTEL,
ULT,Mainstream_13_DISCRETE_INTEL,forecast_auto_arima,0.85,12,,,,,
ULT,Mainstream_13_UMA_AMD,forecast_enhance_stl,0.937493141,12,23,1,1,,
ULT,Mainstream_13_UMA_INTEL,forecast_enhance_stl,0.8807,6,25,25,0.6,,
ULT,Mainstream_14_DISCRETE_INTEL,forecast_auto_arima,0.84,12,,,,,
ULT,Mainstream_14_UMA_AMD,forecast_auto_arima,0.8,12,,,,,
ULT,Mainstream_14_UMA_INTEL,forecast_stl,0.91,12,,,,,
ULT,Mainstream_15_DISCRETE_INTEL,forecast_prophet,0.693053208,12,,,,,
ULT,Mainstream_15_UMA_AMD,forecast_combined_box_cox,0.86,12,,,,,
ULT,Mainstream_15_UMA_INTEL,forecast_stl,0.866491692,12,,,,,
ULT,Premium_13_DISCRETE_INTEL,forecast_auto_arima,0.86,12,,,,,
ULT,Premium_13_UMA_AMD,forecast_prophet_regressor,0.81585578,6,,,,Specific,
ULT,Premium_13_UMA_INTEL,forecast_enhance_stl_regressor,0.86,12,25,1,0.2,Specific,
ULT,Premium_14_DISCRETE_INTEL,forecast_enhance_stl_regressor,0.9,12,5,11,0.4,Specific,
ULT,Premium_14_UMA_AMD,forecast_enhance_stl,0.798554852,6,1,11,0.6,,
ULT,Premium_14_UMA_INTEL,forecast_enhance_stl_regressor,0.84,12,13,7,0.5,Specific,
ULT,Premium_15_DISCRETE_INTEL,forecast_auto_arima,0.82,12,,,,,
ULT,Premium_15_UMA_AMD,forecast_enhance_stl,0.751020301,6,5,1,0.9,,
ULT,Premium_15_UMA_INTEL,forecast_combined_box_cox,0.877001794,6,,,,,
ULT,ULT_Total,forecast_enhance_stl_regressor,0.9,12,1,5,0.9,Specific,
TRA,TRA_Total,forecast_stl_box_cox,0.8648,12,,,,,
